ICAO,CIAD,Aeródromo,Cidade,UF,Alerta,NOTAM,STATUS
SIQS,MT0119,Fazenda Terra do Sol,PORTO ESTRELA,MT,,[],OK
SSYW,MS0354,Fazenda Terra Forte,COXIM,MS,,[],OK
SDNT,TO0014,Fazenda Terra Prometida,PORTO NACIONAL,TO,,[],OK
SWFW,MT0343,Fazenda Terra Way - VII,TABAPORÃ,MT,,[],OK
SDUE,PR0040,Fazenda Thália,BALSA NOVA,PR,,[],OK
SNTV,BA0024,Fazenda Timbaúba,LUÍS EDUARDO MAGALHÃES,BA,,[],OK
SJTR,TO0032,Fazenda Timbaúba I,AURORA DO TOCANTINS,TO,,[],OK
SNFT,MT0252,Fazenda Toca da Onça,UNIÃO DO SUL,MT,,[],OK
SIJS,PA0048,Fazenda Tonga,PARAGOMINAS,PA,,[],OK
SISU,MG0108,Fazenda Topázio Imperial,GAMELEIRAS,MG,,[],OK
SSTY,RJ0038,Fazenda Tosana,CABO FRIO,RJ,,[],OK
SITB,MS0086,Fazenda Touro Branco,NAVIRAÍ,MS,,[],OK
SDUF,MS0061,Fazenda Touro Peru,PORTO MURTINHO,MS,,[],OK
SIFT,MT0094,Fazenda Travessão,VILA BELA DA SANTÍSSIMA TRINDADE,MT,,[],OK
SJBZ,GO0068,Fazenda Três Barras,ITARUMÃ,GO,,[],OK
SSVY,SP0260,Fazenda Três Barras,PITANGUEIRAS,SP,,[],OK
SWQL,GO0021,Fazenda Três Companheiros,DOVERLÂNDIA,GO,,[],OK
SNLF,MT0257,Fazenda Três Flechas,VILA RICA,MT,,[],OK
SWOF,MT0371,Fazenda Três Fronteiras,ALTO TAQUARI,MT,,[],OK
SSIY,PA0127,Fazenda Três Irmãos,NOVO PROGRESSO,PA,,[],OK
SILT,SP0220,Fazenda Três Irmãos,SANTA FÉ DO SUL,SP,,[],OK
SSLK,MG0184,Fazenda Três Lagoas,ITAPECERICA,MG,,[],OK
SWUU,ND,Fazenda Três Marias,ÁGUA CLARA,MS,,[],OK
SWOO,GO0019,Fazenda Três Marias do Água Limpa,BRITÂNIA,GO,,[],OK
SSMP,PR0085,Fazenda Três Minas,ITAMBÉ,PR,,[],OK
SWMU,MS0386,Fazenda Três Muchachas,BANDEIRANTES,MS,,[],OK
SJNK,RO0009,Fazenda Três Perobas,SANTA LUZIA D'OESTE,RO,,[],OK
SJGT,MS0166,Fazenda Três Pontes,TRÊS LAGOAS,MS,,[],OK
SWIM,GO0128,Fazenda Três Ranchos,MONTES CLAROS DE GOIÁS,GO,,[],OK
SSJZ,PR0082,Fazenda Três Unidos,TERRA ROXA,PR,,[],OK
SNTL,TO0039,Fazenda Treze Estrelas,ARAGUAÍNA,TO,,[],OK
SWXF,BA0187,Fazenda Triflora,SÃO DESIDÉRIO,BA,,[],OK
SDZI,BA0083,Fazenda Trijunção,JABORANDI,BA,,[],OK
SJTN,RO0019,Fazenda Triunfo,CANDEIAS DO JAMARI,RO,,[],OK
SDTR,MT0063,Fazenda Triunfo,VILA BELA DA SANTÍSSIMA TRINDADE,MT,,[],OK
SJFT,MT0170,Fazenda Triunfo do Rio Turvo,NOVA BANDEIRANTES,MT,,[],OK
SDMK,ND,Fazenda Tropical,BRASILÂNDIA,MS,,[],OK
SWXC,RO0038,Fazenda Tropical,CORUMBIARA,RO,,[],OK
SJTU,MT0224,Fazenda Tucano,CAMPO NOVO DO PARECIS,MT,,[],OK
SJWT,BA0126,Fazenda Tucumã,CORRENTINA,BA,,[],OK
SWTU,MT0004,Fazenda Tucunaré,SAPEZAL,MT,,[],OK
SSTU,MS0334,Fazenda Tujuri,ELDORADO,MS,,[],OK
SDHK,GO0039,Fazenda Tulipa,CAMPINORTE,GO,,[],OK
SSKB,MS0298,Fazenda Tupanciretã,AQUIDAUANA,MS,,[],OK
SIJM,MT0098,Fazenda Tupancy,SAPEZAL,MT,,[],OK
SWBT,MS0069,Fazenda Tupi,NOVA ANDRADINA,MS,,[],OK
SDPR,MT0022,Fazenda Turazzi,PONTES E LACERDA,MT,,[],OK
SNOW,SP0157,Fazenda Turmalina,RANCHARIA,SP,,[],OK
SIUB,MT0133,Fazenda Uberaba,CÁCERES,MT,,[],OK
SIIS,PR0044,Fazenda Uberaba,ALTO PARAÍSO,PR,,[],OK
SJUI,TO0033,Fazenda Uirapuru ,ARAGUANÃ,TO,,[],OK
SDHR,MS0033,Fazenda União,PORTO MURTINHO,MS,,[],OK
SJBC,PA0012,Fazenda União,CUMARU DO NORTE,PA,,[],OK
SWUN,MS0397,Fazenda União,INOCÊNCIA,MS,,[],OK
SJDE,MS0149,Fazenda União,JATEÍ,MS,,[],OK
SIXA,SP0199,Fazenda União Suzanápolis,SUZANÁPOLIS,SP,,[],OK
SJQX,PA0076,Fazenda Uruará,URUARÁ,PA,,[],OK
SNPG,MS0224,Fazenda Uval,CORUMBÁ,MS,,[],OK
SSJB,MS0288,Fazenda Vaca Branca,NAVIRAÍ,MS,,[],OK
SJZL,MS0099,Fazenda Vaca Mocha,CARACOL,MS,,[],OK
SSDS,MT0285,Fazenda Vale,TAPURAH,MT,,[],OK
SIVY,MT0144,Fazenda Vale do Boi II,SÃO FÉLIX DO ARAGUAIA,MT,,[],OK
SWVK,MT0417,Fazenda Vale do Rio Celeste,NOVA UBIRATÃ,MT,,[],OK
SWAV,GO0116,Fazenda Vale dos Sonhos,PALESTINA DE GOIÁS,GO,,[],OK
SDVH,SP0154,Fazenda Vale Eldorado - Dr José de Aguiar Leme,BRAGANÇA PAULISTA,SP,,[],OK
SNDA,MT0243,Fazenda Vale Formoso,FIGUEIRÓPOLIS D'OESTE,MT,,[],OK
SDFY,MS0028,Fazenda Valença,RIO NEGRO,MS,Aeródromo FECHADO até 14/05/19: INFOTEMP 0101/2019,"{'badge_info': 'INFOTEMP 0101/2019', 'titulo': '', 'texto2': 'Duração:'}",OK
SWZP,MT0103,Fazenda Vale Rico,SÃO JOSÉ DO POVO,MT,,[],OK
SNYH,PA0114,Fazenda Vale Sereno,CUMARU DO NORTE,PA,,[],OK
SSLL,BA0034,,,,,[],OK
SNBF,MT0241,Fazenda Vale Verde,CANARANA,MT,,[],OK
SJDC,TO0024,Fazenda Vale Verde,PIUM,TO,,[],OK
SDNA,MG0085,Fazenda Vale Verde,COMENDADOR GOMES,MG,,[],OK
SWIK,MT0352,Fazenda Vanguarda,COCALINHO,MT,,[],OK
SIWN,GO0059,Fazenda Vargem das Flores,GOIATUBA,GO,,"{'badge_info': 'INFOTEMP 0214/2019', 'titulo': '', 'texto2': 'Duração:'}",OK
SNHG,TO0037,Fazenda Varjadão,SANDOLÂNDIA,TO,,[],OK
SJVA,MT0087,Fazenda Varnier,BRASNORTE,MT,,[],OK
SJVF,MT0230,Fazenda Várzea Funda,CÁCERES,MT,,[],OK
SDVS,SP0198,Fazenda Vassoural,PONTAL,SP,Aeródromo FECHADO até 11/02/20: INFOTEMP 0018/2019,"{'badge_info': 'INFOTEMP 0018/2019', 'titulo': '', 'texto2': 'Duração:'}",OK
SSWT,MS0345,Fazenda Vaticano,NIOAQUE,MS,,[],OK
SJIV,TO0030,Fazenda Veneza,CASEARA,TO,,[],OK
SDEV,MT0034,Fazenda Ventania,CAMPOS DE JÚLIO,MT,,[],OK
SJHV,,,,, O aeródromo não foi encontrado. ,[],OK
SNVK,BA0058,Fazenda Ventura II,SÃO DESIDÉRIO,BA,,[],OK
SNVM,BA0146,Fazenda Ventura III,SÃO DESIDÉRIO,BA,,[],OK
SSVB,BA0166,Fazenda Ventura IV,SÃO DESIDÉRIO,BA,,"[{'badge_info': 'INFOTEMP 0158/2019', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0156/2019', 'texto2': 'Duração:'}]",OK
SSPV,MS0321,Fazenda Vera,ALCINÓPOLIS,MS,,[],OK
SIZK,MT0156,Fazenda Vera Cruz,BARRA DO GARÇAS,MT,,[],OK
SNWO,MS0236,Fazenda Vera Cruz,AMAMBAI,MS,,[],OK
SJBT,MS0148,Fazenda Vera Lúcia,AQUIDAUANA,MS,,[],OK
SIJZ,PA0049,Fazenda Vera Paz,ITAITUBA,PA,,[],OK
SIKM,MA0007,Fazenda Viamão,ARAME,MA,,[],OK
SIUV,MT0033,Fazenda Vianmacel,NOVA MARINGÁ,MT,,[],OK
SNKT,MS0214,Fazenda Viçosa,NAVIRAÍ,MS,,[],OK
SDOD,MA0014,Fazenda Vida,BARRA DO CORDA,MA,,[],OK
SNFZ,MG0145,Fazenda Villa Terezinha,BOCAIÚVA,MG,,[],OK
SSVA,MS0338,Fazenda Visa Estância,LADÁRIO,MS,,[],OK
SSWV,PA0134,Fazenda Vista Alegre,SÃO FÉLIX DO XINGU,PA,,[],OK
SIZH,MS0146,Fazenda Vista Alegre,APARECIDA DO TABOADO,MS,,[],OK
SDQT,MS0108,Fazenda Vista Alegre,NOVO HORIZONTE DO SUL,MS,,[],OK
SICN,SP0173,Fazenda Vista Bonita,SANDOVALINA,SP,,[],OK
SIKW,BA0089,Fazenda Vista Linda ,MUCURI,BA,,[],OK
SWOQ,PI0044,Fazenda Vista Verde,PALMEIRA DO PIAUÍ,PI,,[],OK
SIJV,MS0092,Fazenda Vitória,RIO VERDE DE MATO GROSSO,MS,,[],OK
SJUV,MT0025,Fazenda Vitória,NOVA UBIRATÃ,MT,,[],OK
SJEX,BA0106,Fazenda Vitória,SÃO DESIDÉRIO,BA,,[],OK
SDNK,MT0044,Fazenda Vitória,PRIMAVERA DO LESTE,MT,,[],OK
SJVY,GO0091,Fazenda Vitória,ITARUMÃ,GO,,[],OK
SITH,BA0242,Fazenda Vitória,LUÍS EDUARDO MAGALHÃES,BA,,[],OK
SNVN,MG0166,Fazenda Vitória Santa,SANTA VITÓRIA,MG,,[],OK
SSFV,MG0181,Fazenda Viveiros,PIRAPORA,MG,,[],OK
SJVV,TO0009,Fazenda Viviane,DUERÉ,TO,,[],OK
SNJJ,MS0212,Fazenda Vô Anízio,DOIS IRMÃOS DO BURITI,MS,,[],OK
SSWI,MT0320,Fazenda Vovô Ernesto,NOVA MUTUM,MT,,[],OK
SDRZ,MS0051,Fazenda Vó Zita do Rio Vermelho,CORUMBÁ,MS,,[],OK
SJRB,MT0212,Fazenda VR,SANTA CRUZ DO XINGU,MT,,"{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1496/2018', 'texto2': 'Duração:'}",OK
SDUK,MT0065,Fazenda Xaimite,ÁGUA BOA,MT,,[],OK
SWZH,ES0011,Fazenda XV de Outubro,COLATINA,ES,,[],OK
SIDY,PR0043,Fazenda Yanduy,LUNARDELLI,PR,,[],OK
SWAA,GO0114,Fazenda Ykaraí,NOVA CRIXÁS,GO,,[],OK
SJYC,MS0060,Fazenda Yvy-Pita,JUTI,MS,,[],OK
SSSK,MA0047,FC,CODÓ,MA,,[],OK
SNDF,PR0065,Fecularia Lopes,ITAÚNA DO SUL,PR,,[],OK
SNFF,CE0015,Feijó,FORTALEZA,CE,,[],OK
SIPF,RS0024,Feliz,FELIZ,RS,,[],OK
SJCH,PE0008,Fernando João Pereira dos Santos Filho,BREJO DA MADRE DE DEUS,PE,,[],OK
SWLF,MG0200,Filial Campo Florido,CAMPO FLORIDO,MG,,[],OK
SJLA,RR0046,Flechal,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1199/2018,"{'badge_info': 'INFOTEMP 1199/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SWFH,BA0175,Fly Club,PORTO SEGURO,BA,,[],OK
SNFL,RJ0026,Fly Lagos,CABO FRIO,RJ,,"{'badge_info': 'D0471/19', 'titulo': ' N 08/04/2019 23:35', 'texto2': 'SFC'}",OK
SNFY,SC0034,Fly Park Florianópolis,FLORIANÓPOLIS,SC,,[],OK
SSPF,PI0038,Fly Village,ALTOS,PI,,"{'badge_info': 'B0453/19', 'titulo': ' N 13/04/2019 11:47', 'texto2': 'SFC'}",OK
SJSH,SC0004,Fly Ville,GOVERNADOR CELSO RAMOS,SC,,"{'badge_info': 'INFOTEMP 0205/2019', 'titulo': '', 'texto2': 'Duração:'}",OK
SWFU,MT0342,Fortuna,VILA BELA DA SANTÍSSIMA TRINDADE,MT,Aeródromo FECHADO até 31/12/20: INFOTEMP 1455/2018,"[{'badge_info': 'INFOTEMP 1455/2018', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1282/2018', 'texto2': 'Duração:'}]",OK
SSFA,PR0074,Foz do Areia,PINHÃO,PR,,"{'badge_info': 'Z0266/18', 'titulo': ' N 18/01/2018 18:28', 'texto2': '18/01/18 18:29 a PERM'}",OK
SIWH,MG0004,Francisco Lázaro da Silveira,COROMANDEL,MG,,[],OK
SWRF,MA0052,Francisco Ramalho,PEDREIRAS,MA,,[],OK
SJFA,BA0107,Franor,SÃO DESIDÉRIO,BA,,[],OK
SJFF,SP0207,Frigo Estrela,ESTRELA D'OESTE,SP,,[],OK
SWVW,MG0205,Furnaspark Resort,FORMIGA,MG,,"{'badge_info': 'F0641/19', 'titulo': ' R F0157/19 10/04/2019 20:00', 'texto2': 'SFC'}",OK
SIRD,RS0067,Gaelo,CHARQUEADAS,RS,,[],OK
SICJ,MT0084,Gaivota Aviação Agrícola,SAPEZAL,MT,,[],OK
SIZP,MT0060,Gaúcha do Norte,GAÚCHA DO NORTE,MT,,[],OK
SWBQ,ES0001,GERALDO ALVINO COVRE,PINHEIROS,ES,,[],OK
SNTG,BA0061,Gercino Coelho,FORMOSA DO RIO PRETO,BA,,"{'badge_info': 'Z0269/18', 'titulo': ' N 18/01/2018 18:40', 'texto2': '18/01/18 18:41 a PERM'}",OK
SSYP,MA0048,Gessomar,CODÓ,MA,,[],OK
SNGR,PA0092,Gorotire,CUMARU DO NORTE,PA,Aeródromo FECHADO até 31/12/20: INFOTEMP 1464/2018,"[{'badge_info': 'INFOTEMP 1464/2018', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1165/2018', 'texto2': 'Duração:'}]",OK
SWYG,PR0100,Graciosa,PIRAQUARA,PR,Aeródromo FECHADO até 23/04/19: INFOTEMP 0044/2019,"{'badge_info': 'INFOTEMP 0044/2019', 'titulo': '', 'texto2': 'Duração:'}",OK
SJRP,ND,Grupo Pronorte,MARCELÂNDIA,MT,,[],OK
SJTT,MT0223,Grupo Rotta,SAPEZAL,MT,,[],OK
SJIF,MT0182,Grupo Scheffer ,SAPEZAL,MT,,[],OK
SJQD,BA0120,Grupo Shimohira,FORMOSA DO RIO PRETO,BA,,[],OK
SSGX,SP0153,Guacho,SANTA CRUZ DO RIO PARDO,SP,,[],OK
SDLM,RR0005,Guariba,NORMANDIA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1236/2018,"{'badge_info': 'INFOTEMP 1236/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SIPU,BA0095,Guatambu Piauí,SANTA RITA DE CÁSSIA,BA,,[],OK
SIAB,SP0221,Guatambu São Paulo,BURI,SP,,[],OK
SJLC,RR0009,Hakoma,ALTO ALEGRE,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1196/2018,"{'badge_info': 'INFOTEMP 1196/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJLE,RR0017,Halikato-u,ALTO ALEGRE,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1195/2018,"{'badge_info': 'INFOTEMP 1195/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJKI,AP0006,Hangar Comandante Salomão Alcolumbre,MACAPÁ,AP,,[],OK
SJQT,MG0022,Haras RPC,NOVA LIMA,MG,,[],OK
SDMG,RR0008,HAXIU,ALTO ALEGRE,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1477/2018,"[{'badge_info': 'INFOTEMP 1477/2018', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1178/2018', 'texto2': 'Duração:'}]",OK
SBIT,GO0035,Hidrelétrica de Itumbiara,ITUMBIARA,GO,,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0071/2019', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0052/2019', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0051/2019', 'texto2': 'Duração:'}, {'badge_info': 'F0588/19', 'titulo': ' N 05/04/2019 14:26', 'texto2': 'SFC'}]",OK
SNSA,MG0294,Hilário Grandi,UNAÍ,MG,,[],OK
SJLF,RR0049,Homoxi,IRACEMA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1164/2018,"{'badge_info': 'INFOTEMP 1164/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SWYX,MT0441,Horizonte Azul,GAÚCHA DO NORTE,MT,,[],OK
SJQI,MT0210,Hotel Porto Jofre,POCONÉ,MT,,[],OK
SBTC,BA0067,Hotel Transamérica,UNA,BA,,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1340/2018', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1014/2018', 'texto2': 'Duração:'}, {'badge_info': 'INFOTEMP 1013/2018', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0989/2018', 'texto2': 'Duração:'}, {'badge_info': 'INFOTEMP 0196/2019', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0195/2019', 'texto2': 'Duração:'}, {'badge_info': 'INFOTEMP 0135/2019', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0134/2019', 'texto2': 'Duração:'}, {'badge_info': 'INFOTEMP 0050/2019', 'titulo': '', 'texto2': 'Duração:'}]",OK
SSMW,SP0119,ICA,PERUÍBE,SP,,[],OK
SDQE,MT0055,Ilha do Caracará,POCONÉ,MT,,[],OK
SITT,PA0058,Independência,ITAITUBA,PA,,[],OK
SSHT,MT0291,Ingazeira,ALTA FLORESTA,MT,,[],OK
SDSG,MT0059,Ipiranga,ALTO TAQUARI,MT,,[],OK
SJBK,PA0043,Iriri,ALTAMIRA,PA,,[],OK
SIDG,RO0012,Irmãos Gonçalves,JARU,RO,,[],OK
SDIB,SP0107,Irmãos  Ribeiro,ESPÍRITO SANTO DO PINHAL,SP,,[],OK
SNYK,MT0277,Isaías Luiz Pereira,NOVA UBIRATÃ,MT,,[],OK
SDUR,RJ0019,Itaboraí,ITABORAÍ,RJ,,[],OK
SJWG,RS0079,Itagro,ALEGRETE,RS,,[],OK
SWEO,RR0109,Itapará Sport Fishing,RORAINÓPOLIS,RR,,[],OK
SIPE,PE0014,Itapessoca,GOIANA,PE,,[],OK
SNXH,MA0042,Itapicuru,CODÓ,MA,,"{'badge_info': 'INFOTEMP 0878/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJIT,MG0126,Itaú de Minas,ITAÚ DE MINAS,MG,,"{'badge_info': 'F0643/19', 'titulo': ' R F0163/19 10/04/2019 20:04', 'texto2': 'SFC'}",OK
SSOC,PR0087,Ivaí Aeroagrícola,ENGENHEIRO BELTRÃO,PR,,[],OK
SJLH,RR0050,Jacamim,BONFIM,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1479/2018,"{'badge_info': 'INFOTEMP 1479/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SSJC,SP0249,Jacarezinho,VALPARAÍSO,SP,,[],OK
SIUY,MT0139,Jair Feliciano de Deus,MIRASSOL D'OESTE,MT,,[],OK
SDJL,SP0004,Jales,JALES,SP,,"[{'badge_info': 'INFOTEMP 0201/2019', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'INFOTEMP 0200/2019', 'titulo': '', 'texto2': 'Duração:'}]",OK
SJCW,AM0033,Jatapu,URUCARÁ,AM,,[],OK
SJLJ,RR0051,Jatapuzinho,CAROEBE,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1150/2018,"{'badge_info': 'INFOTEMP 1150/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SNEJ,PA0007,J.C. Peralta,ITAITUBA,PA,,[],OK
SDGQ,CE0014,Jeová Gomes,LIMOEIRO DO NORTE,CE,,[],OK
SNJL,BA0139,J Lem,LUÍS EDUARDO MAGALHÃES,BA,,[],OK
SDJR,MG0035,JN Resort,SETE LAGOAS,MG,,"{'badge_info': 'F0300/19', 'titulo': ' N 20/02/2019 17:28', 'texto2': 'SFC'}",OK
SJJO,GO0078,João de Oliveira Bueno,MONTE ALEGRE DE GOIÁS,GO,,[],OK
SNRH,AM0004,João Fonseca,ENVIRA,AM,,[],OK
SIVU,ES0009,João Monteiro,VILA VELHA,ES,,[],OK
SNIJ,SP0229,Joca Viol,BIRIGUI,SP,,[],OK
SDZW,MG0088,Jonis Pereco,BURITIZEIRO,MG,,[],OK
SJOD,AC0009,Jordão,JORDÃO,AC,,[],OK
SJOY,PR0058,Jorge Luiz Stocco,PALMEIRA,PR,,[],OK
SIQQ,RJ0002,José Bernardo,SÃO FRANCISCO DE ITABAPOANA,RJ,,[],OK
SDYJ,SP0165,José Martins da Silva,REGENTE FEIJÓ,SP,,[],OK
SSYR,MA0049,José Mendes Ribeiro,SÃO JOÃO DOS PATOS,MA,,[],OK
SIRF,PE0012,José Múcio Monteiro,RIO FORMOSO,PE,,[],OK
SJHD,TO0029,Josidith,DARCINÓPOLIS,TO,,[],OK
SJWO,MT0233,Joule Agropecuária,COCALINHO,MT,,[],OK
SWIX,MT0045,JPO,SORRISO,MT,,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0911/2018', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0885/2018', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0884/2018', 'texto2': 'Duração:'}]",OK
SDWK,SP0158,Junqueira,IGARAPAVA,SP,,"{'badge_info': 'INFOTEMP 0118/2019', 'titulo': '', 'texto2': 'Duração:'}",OK
SNRJ,PA0103,Juruti,JURUTI,PA,,[],OK
SNIK,MT0254,Kapoto,PEIXOTO DE AZEVEDO,MT,,[],OK
SDVZ,RN0006,Kareli,PARELHAS,RN,,[],OK
SIUL,RS0069,KL Aviação Agrícola,CAMAQUÃ,RS,,[],OK
SNLY,MG0156,Lagoa da Prata,LAGOA DA PRATA,MG,,[],OK
SJAL,BA0101,Lagoa Grande,IRAMAIA,BA,,[],OK
SJLK,RR0052,Lago Grande 1,BOA VISTA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1229/2018,"{'badge_info': 'INFOTEMP 1229/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SDMM,RR0009,Lago Verde,PACARAIMA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1238/2018,"{'badge_info': 'INFOTEMP 1238/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SINQ,AP0003,Laranjal,LARANJAL DO JARI,AP,,[],OK
SJLM,RR0054,Leão de Ouro,AMAJARI,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1177/2018,"{'badge_info': 'INFOTEMP 1177/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SWHM,MS0030,Lobo Agropecuária,ALCINÓPOLIS,MS,,[],OK
SNCL,BA0011,Lorenzo,CAIRU,BA,,[],OK
SWNB,BA0021,Luís Eduardo Magalhães,LUÍS EDUARDO MAGALHÃES,BA,,[],OK
SSWL,CE0019,Luiz Aragão,TIANGUÁ,CE,,[],OK
SDLR,AM0011,Luiz Ribeiro Maia,TAPAUÁ,AM,,[],OK
SIJA,PA0047,Maca Aero,TAILÂNDIA,PA,,[],OK
SWIU,MT0355,Madeirinha,COLNIZA,MT,,[],OK
SJVU,MG0135,Maicom Manica,UNAÍ,MG,,[],OK
SDUY,MT0066,MAIROWY,APIACÁS,MT,,[],OK
SSIS,SP0248,Major José Ignácio,IBATÉ,SP,,[],OK
SDPI,RR0010,Makukem,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1240/2018,"{'badge_info': 'INFOTEMP 1240/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJLN,RR0055,Maloquinha,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1233/2018,"{'badge_info': 'INFOTEMP 1233/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJLO,RR0056,Manalai,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1235/2018,"{'badge_info': 'INFOTEMP 1235/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SNML,AL0009,Manduca Leão,RIO LARGO,AL,,[],OK
SJLP,RR0057,Manoá-pium,BONFIM,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1228/2018,"{'badge_info': 'INFOTEMP 1228/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SWWM,MG0207,Fazenda Pupila,MANTENA,MG,,[],OK
SIMB,AC0007,Manuel Urbano,MANOEL URBANO,AC,,[],OK
SJLQ,RR0058,Maracanã,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1161/2018,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1162/2018', 'texto2': 'Duração:'}, {'badge_info': 'INFOTEMP 1161/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SJMR,MS0177,Maragogipe,IGUATEMI,MS,,[],OK
SDME,SP0121,Marchesan S.A,MATÃO,SP,,[],OK
SSMH,AC0010,Marechal Thaumaturgo,MARECHAL THAUMATURGO,AC,Aeródromo FECHADO até 23/09/19: INFOTEMP 0186/2019,"{'badge_info': 'INFOTEMP 0186/2019', 'titulo': '', 'texto2': 'Duração:'}",OK
SJOU,MT0202,Marfrig Frigorífico,PARANATINGA,MT,,[],OK
SWMG,GO0136,Margom,ÁGUA FRIA DE GOIÁS,GO,,[],OK
SNFC,PA0088,Marina do Caraipé,TUCURUÍ,PA,,[],OK
SNNG,MG0159,Mário Spada,MINAS NOVAS,MG,,[],OK
SJLS,RR0059,Marupá,BONFIM,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1237/2018,"{'badge_info': 'INFOTEMP 1237/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SIVZ,RS0008,Mata-Fome,ITAQUI,RS,,[],OK
SSEB,GO0105,Mata Serena,SÃO DOMINGOS,GO,,[],OK
SJZP,MT0023,Mathovi,NOVO MUNDO,MT,,[],OK
SJME,RR0006,Mato Grosso,PACARAIMA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1252/2018,"{'badge_info': 'INFOTEMP 1252/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SWMK,AM0049,Maturacá,SANTA ISABEL DO RIO NEGRO,AM,Aeródromo FECHADO até 31/12/20: INFOTEMP 0168/2019,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1469/2018', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1193/2018', 'texto2': 'Duração:'}, {'badge_info': 'INFOTEMP 0168/2019', 'titulo': '', 'texto2': 'Duração:'}]",OK
SJLL,RR0053,Maturuca,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1476/2018,"[{'badge_info': 'INFOTEMP 1476/2018', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1179/2018', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1174/2018', 'texto2': 'Duração:'}]",OK
