ICAO,CIAD,Aeródromo,Cidade,UF,Alerta,NOTAM
SBBI,PR0006,Bacacheri,CURITIBA,PR,,"[{'badge_info': 'Z1933/18', 'titulo': ' N 07/11/2018 18:52', 'texto2': '08/11/18 00:00 a PERM'}, {'badge_info': 'Z1588/18', 'titulo': ' N 29/09/2018 01:27', 'texto2': '29/09/18 01:27 a PERM'}, {'badge_info': 'Z3668/17', 'titulo': ' R Z3661/17 14/10/2017 15:26', 'texto2': '14/10/17 15:22 a PERM'}, {'badge_info': 'Z3667/17', 'titulo': ' N 14/10/2017 15:22', 'texto2': '14/10/17 15:18 a PERM'}]"
SBBP,SP0036,Aeroporto Estadual Arthur Siqueira,BRAGANÇA PAULISTA,SP,,"[{'badge_info': 'D0157/19', 'titulo': ' N 01/02/2019 14:05', 'texto2': '01/02/19 14:05 a 10/03/19 00:00 UTC'}, {'badge_info': 'Z0921/18', 'titulo': ' N 26/05/2018 12:32', 'texto2': '26/05/18 12:33 a PERM'}, {'badge_info': 'Z0814/18', 'titulo': ' N 27/04/2018 14:11', 'texto2': '27/04/18 14:12 a PERM'}, {'badge_info': 'Z0592/18', 'titulo': ' N 22/03/2018 14:59', 'texto2': '22/03/18 15:01 a PERM'}, {'badge_info': 'Z0590/18', 'titulo': ' N 21/03/2018 18:46', 'texto2': '21/03/18 18:47 a PERM'}]"
SBBR,DF0003,Presidente Juscelino Kubitschek,BRASÍLIA,DF,,"[{'badge_info': 'N0037 | 28/02/19', 'titulo': 'DISTÂNCIAS DECLARADAS', 'texto1': '- Distâncias declaradas da pista 11R/29L modificadas devido implantação de RESA. \n\n1) Dias e horários: H24\n\nTORA TODA ASDA LDA\n\nRWY 11R 3150M 3300M 3150M 3150M\n\nRWY 29L 3300M 3300M 3300M 3150M', 'texto2': '\n  \tPeríodo: De 28 de fevereiro de 2019, 0000 UTC até 31 de maio de 2019, 2359 UTC.\n\tRef: AIP AD 2.13\n\n'}, {'badge_info': 'N0038 | 28/02/19', 'titulo': 'CABECEIRA', 'texto1': '- Cabeceira 29L deslocada em 150m devido implantação de RESA. \n\n1) Dias e horários: H24', 'texto2': '\n  \tPeríodo: De 28 de fevereiro de 2019, 0000 UTC até 31 de maio de 2019, 2359 UTC.\n\tRef: AIP AD 2.12\n\n'}, {'badge_info': 'N0022 | 31/01/19', 'titulo': 'CABECEIRA', 'texto1': '- Cabeceira 29R deslocada em 150m devido provimento de RESA.', 'texto2': '\n  \tPeríodo: De 31 de janeiro de 2019, 0000 UTC até 09 de junho de 2019, 2359 UTC.\n\tRef: AIP AD 2.12\n\n'}, {'badge_info': 'N0023 | 31/01/19', 'titulo': 'PISTA DE TÁXI', 'texto1': '- Pista de táxi “PAPA” fechada.', 'texto2': '\n  \tPeríodo: De 31 de janeiro de 2019, 0000 UTC até 31 de dezembro de 2025, 2359 UTC.\n\tRef: AIP AD 2.12\n\n'}, {'badge_info': 'N0025 | 31/01/19', 'titulo': 'DISTÂNCIAS DECLARADAS', 'texto1': '- Distâncias declaradas RWY 11L/29R modificadas devido provimento de RESA. \n\n1) Dias e horários: H24\n\n               TORA     TODA    ASDA     LDA\n\nRWY 11L 3050M    3050M   3050M   3050M\n\nRWY 29R 3200M   3200M   3200M    3050M', 'texto2': '\n  \tPeríodo: De 31 de janeiro de 2019, 0000 UTC até 09 de junho de 2019, 2359 UTC.\n\tRef: AIP AD 2.13\n\n'}, {'badge_info': 'N0194 | 11/10/18', 'titulo': 'PROCEDIMENTO DE APROXIMAÇÃO POR INSTRUMENTO', 'texto1': '- IAP RNAV (GNSS) Z RWY 11L não disponível.\n\n1) Dias e Horários: H24', 'texto2': '\n  \tPeríodo: De 11 de outubro de 2018, 0000 UTC até 01 de agosto de 2019, 2359 UTC.\n\tRef: AIP MAP IAC\n\n'}, {'badge_info': 'N0027 | 01/03/18', 'titulo': 'CARTA DE APROXIMAÇÃO POR INSTRUMENTOS', 'texto1': '- IAC ILS V RWY 11R CAT II não disponível.', 'texto2': '\n  \tPeríodo: De 01 de março de 2018, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP IAC\n\n'}, {'badge_info': 'F0370/19', 'titulo': ' N 26/02/2019 21:55', 'texto2': '26/02/19 21:55 a 26/05/19 23:59 UTC'}, {'badge_info': 'F0290/19', 'titulo': ' R F0099/19 19/02/2019 20:00', 'texto2': '25/02/19 16:00 a 22/03/19 20:00 UTC'}, {'badge_info': 'F0288/19', 'titulo': ' N 18/02/2019 19:11', 'texto2': '18/02/19 19:11 a 22/03/19 19:00 UTC'}, {'badge_info': 'F0271/19', 'titulo': ' R F2296/18 14/02/2019 17:42', 'texto2': 'SFC'}, {'badge_info': 'F0270/19', 'titulo': ' R F0098/19 14/02/2019 17:25', 'texto2': '14/02/19 17:25 a 29/03/19 20:00 UTC'}, {'badge_info': 'F0225/19', 'titulo': ' N 31/01/2019 19:56', 'texto2': '31/01/19 19:56 a 27/03/19 23:59 UTC'}, {'badge_info': 'F0224/19', 'titulo': ' N 31/01/2019 19:15', 'texto2': '31/01/19 19:15 a 27/03/19 23:59 UTC'}, {'badge_info': 'F0222/19', 'titulo': ' N 31/01/2019 19:09', 'texto2': '31/01/19 19:09 a 27/03/19 23:59 UTC'}, {'badge_info': 'F0218/19', 'titulo': ' N 31/01/2019 17:36', 'texto2': '31/01/19 17:36 a 27/03/19 23:59 UTC'}, {'badge_info': 'F0216/19', 'titulo': ' N 31/01/2019 17:12', 'texto2': '31/01/19 17:12 a 27/03/19 23:59 UTC'}, {'badge_info': 'F0210/19', 'titulo': ' N 31/01/2019 16:37', 'texto2': '31/01/19 16:37 a 27/03/19 23:59 UTC'}, {'badge_info': 'F0208/19', 'titulo': ' N 31/01/2019 16:20', 'texto2': '31/01/19 16:20 a 27/03/19 23:59 UTC'}, {'badge_info': 'F0181/19', 'titulo': ' R F2284/18 29/01/2019 15:49', 'texto2': '29/01/19 15:49 a 27/03/19 23:59 UTC'}, {'badge_info': 'F0180/19', 'titulo': ' R F2283/18 29/01/2019 15:47', 'texto2': '29/01/19 15:47 a 27/03/19 23:59 UTC'}, {'badge_info': 'F0086/19', 'titulo': ' N 17/01/2019 20:03', 'texto2': 'SFC'}, {'badge_info': 'F2542/18', 'titulo': ' N 27/12/2018 23:17', 'texto2': 'SFC'}, {'badge_info': 'Z1951/18', 'titulo': ' N 07/11/2018 20:16', 'texto2': '08/11/18 00:00 a PERM'}, {'badge_info': 'Z1817/18', 'titulo': ' N 08/10/2018 17:39', 'texto2': '08/10/18 17:39 a PERM'}, {'badge_info': 'Z1628/18', 'titulo': ' N 01/10/2018 23:24', 'texto2': 'SFC'}, {'badge_info': 'Z1129/18', 'titulo': ' R Z1127/18 20/06/2018 14:42', 'texto2': '20/06/18 14:40 a PERM'}, {'badge_info': 'Z0463/18', 'titulo': ' N 08/03/2018 13:55', 'texto2': '08/03/18 13:56 a PERM'}, {'badge_info': 'Z0450/18', 'titulo': ' R Z0447/18 01/03/2018 19:26', 'texto2': '01/03/18 19:27 a PERM'}, {'badge_info': 'Z0419/18', 'titulo': ' R Z0409/18 26/02/2018 17:11', 'texto2': '26/02/18 17:12 a PERM'}, {'badge_info': 'Z0413/18', 'titulo': ' N 21/02/2018 19:27', 'texto2': '21/02/18 19:28 a PERM'}, {'badge_info': 'Z0341/18', 'titulo': ' N 30/01/2018 18:00', 'texto2': '30/01/18 18:02 a PERM'}, {'badge_info': 'Z2874/17', 'titulo': ' R Z2853/17 15/09/2017 15:57', 'texto2': '15/09/17 15:57 a PERM'}, {'badge_info': 'Z2576/17', 'titulo': ' R Z0383/16 24/08/2017 19:48', 'texto2': '24/08/17 19:48 a PERM'}, {'badge_info': 'Z2461/17', 'titulo': ' R Z0478/16 16/08/2017 13:11', 'texto2': '16/08/17 13:11 a PERM'}, {'badge_info': 'Z2445/17', 'titulo': ' R Z1556/16 14/08/2017 23:43', 'texto2': '14/08/17 23:43 a PERM'}, {'badge_info': 'Z2321/17', 'titulo': ' N 08/08/2017 18:42', 'texto2': '08/08/17 18:42 a PERM'}, {'badge_info': 'Z2242/17', 'titulo': ' N 27/07/2017 17:46', 'texto2': '27/07/17 17:46 a PERM'}, {'badge_info': 'Z1719/16', 'titulo': ' N 09/06/2016 19:36', 'texto2': '09/06/16 19:36 a PERM'}]"
SBBU,SP0017,Bauru,BAURU,SP,,"[{'badge_info': 'N0226 | 08/11/18', 'titulo': 'LUZES DE APROXIMAÇÃO E DE PISTA', 'texto1': '- VASIS (AVASIS) RWY 14 não utilizável.', 'texto2': '\n  \tPeríodo: De 08 de novembro de 2018, 0000 UTC até 08 de novembro de 2019, 2359 UTC.\n\tRef: AIP MAP ADC\n\n'}, {'badge_info': 'N0208 | 11/10/18', 'titulo': 'SAÍDA PADRÃO POR INSTRUMENTOS', 'texto1': '- SID ENACT 1A - FRAUD 1A - MOMVA 1A - MOXAV 1A - PERAU 1A - SIGAK 1A RWY 14/32 modificada na planta e na descrição textual.\n\nSAÍDA ENACT 1A: executar a saída ao cruzar 080 voe DCT ENPEG;\n\nSAÍDA PERAU 1A: executar a saída ao cruzar 080 voe DCT NENON;\n\nSAÍDA FRAUD 1A: executar a saída ao cruzar 080 voe DCT PUMUS;\n\nSAÍDA MOXAV 1A: executar a saída ao cruzar 080 voe DCT EDMOX;\n\nSAÍDA MOMVA 1A: executar a saída ao cruzar 080 voe DCT OBLUG.\n', 'texto2': '\n  \tPeríodo: De 11 de outubro de 2018, 0000 UTC até 11 de outubro de 2019, 2359 UTC.\n\tRef: AIP MAP SID\n\n'}, {'badge_info': 'E0101/19', 'titulo': ' R E2380/18 18/01/2019 09:44', 'texto2': '18/01/19 09:44 a 14/04/19 22:00 UTC'}, {'badge_info': 'E0029/19', 'titulo': ' R E2360/18 08/01/2019 14:19', 'texto2': '08/01/19 14:19 a 19/03/19 23:59 UTC'}, {'badge_info': 'Z1985/18', 'titulo': ' N 08/11/2018 11:25', 'texto2': '08/11/18 11:25 a PERM'}, {'badge_info': 'Z1663/18', 'titulo': ' N 03/10/2018 14:43', 'texto2': '03/10/18 14:43 a PERM'}, {'badge_info': 'Z0529/18', 'titulo': ' N 13/03/2018 14:16', 'texto2': '13/03/18 14:17 a PERM'}, {'badge_info': 'Z3979/17', 'titulo': ' N 22/11/2017 16:23', 'texto2': '22/11/17 16:16 a PERM'}]"
SBBV,RR0001,Atlas Brasil Cantanhede,BOA VISTA,RR,,"[{'badge_info': 'N0115 | 21/06/18', 'titulo': 'INFORMAÇÃO METEOROLÓGICA', 'texto1': '- Meteorologia CMM (1 a 9) horário de serviço 1000 – 2200. Demais horários a pedido ao Centro Meteorológico de Vigilância Amazônico.\n\nRMK: Dúvidas sobre a utilização do portal www.redemet.aer.mil.br e demais informações consultar o Centro Meteorológico de Vigilância Amazônico pelo TEL (92)3652-5374; (92)3652-5375.', 'texto2': '\n  \tPeríodo: De 21 de junho de 2018, 1000 UTC até 31 de dezembro de 2019, 2200 UTC.\n\tRef: AIP GEN 3.5 (RPLC NOTAM G0310/18)\n\n'}, {'badge_info': 'N0170 | 07/12/17', 'titulo': 'SERVIÇO DE METEOROLOGIA', 'texto1': '- Meteorologia CMA (1 a 9) serviço prestado por meio de autoatendimento. Dúvidas sobre a utilização do portal www.redemet.aer.mil.br e demais informações consultar o Centro Meteorológico de Vigilância Amazônico TEL (92) 3652-5374; (92) 3652-5375.', 'texto2': '\n  \tPeríodo: De 07 de dezembro de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP GEN 3.5 (RPLC SUP N022/16)\n\n'}, {'badge_info': 'N0187 | 08/12/16', 'titulo': 'ESPAÇO AÉREO ATS', 'texto1': '- Altitude de transição corrigir para 4000FT.', 'texto2': '\n  \tPeríodo: De 08 de dezembro de 2016, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP (RPLC N150/14)\n\n'}, {'badge_info': 'G0205/19', 'titulo': ' R G0039/19 21/02/2019 18:46', 'texto2': '22/02/19 12:00 a 31/03/19 21:00 UTC'}, {'badge_info': 'Z0539/18', 'titulo': ' N 14/03/2018 15:20', 'texto2': '14/03/18 15:21 a PERM'}, {'badge_info': 'Z0398/18', 'titulo': ' N 15/02/2018 13:27', 'texto2': '15/02/18 13:28 a PERM'}, {'badge_info': 'Z0397/18', 'titulo': ' N 15/02/2018 13:21', 'texto2': '15/02/18 13:22 a PERM'}, {'badge_info': 'Z0395/18', 'titulo': ' N 15/02/2018 13:10', 'texto2': '15/02/18 13:12 a PERM'}, {'badge_info': 'Z2617/17', 'titulo': ' N 30/08/2017 16:56', 'texto2': '30/08/17 16:56 a PERM'}, {'badge_info': 'Z2263/17', 'titulo': ' R Z3179/15 30/07/2017 23:44', 'texto2': '30/07/17 23:44 a PERM'}, {'badge_info': 'Z1128/16', 'titulo': ' R Z1121/16 01/04/2016 15:02', 'texto2': '01/04/16 15:04 a PERM'}]"
SBBW,MT0008,Barra do Garças,BARRA DO GARÇAS,MT,,"[{'badge_info': 'F0349/19', 'titulo': ' N 25/02/2019 13:52', 'texto2': '25/02/19 13:52 a 21/05/19 23:59 UTC'}, {'badge_info': 'F0282/19', 'titulo': ' N 17/02/2019 15:01', 'texto2': '17/02/19 15:01 a 16/05/19 22:00 UTC'}, {'badge_info': 'F0250/19', 'titulo': ' N 08/02/2019 17:04', 'texto2': '08/02/19 17:04 a 06/05/19 23:59 UTC'}, {'badge_info': 'F0055/19', 'titulo': ' R F2409/18 16/01/2019 12:45', 'texto2': '16/01/19 12:45 a 31/03/19 23:59 UTC'}, {'badge_info': 'Z1140/18', 'titulo': ' R Z1134/18 26/06/2018 17:44', 'texto2': '05/07/18 00:00 a PERM'}, {'badge_info': 'Z2567/17', 'titulo': ' R Z2464/17 23/08/2017 20:04', 'texto2': '23/08/17 20:04 a PERM'}]"
SBCA,PR0002,Coronel Adalberto Mendes da Silva,CASCAVEL,PR,,"[{'badge_info': 'E0346/19', 'titulo': ' N 25/02/2019 19:29', 'texto2': '04/03/19 00:00 a 01/06/19 23:59 UTC'}, {'badge_info': 'E2910/18', 'titulo': ' N 26/12/2018 19:08', 'texto2': '01/01/19 00:00 a 27/03/19 23:59 UTC'}, {'badge_info': 'E2909/18', 'titulo': ' N 26/12/2018 19:06', 'texto2': '01/01/19 00:00 a 27/03/19 23:59 UTC'}, {'badge_info': 'E2803/18', 'titulo': ' N 12/12/2018 17:04', 'texto2': '12/03/19 10:00 a 20/03/19 21:00 UTC'}, {'badge_info': 'E2801/18', 'titulo': ' R E1974/18 12/12/2018 16:47', 'texto2': '12/12/18 16:47 a 11/03/19 21:00 UTC'}, {'badge_info': 'Z0729/18', 'titulo': ' N 18/04/2018 12:56', 'texto2': '18/04/18 12:57 a PERM'}]"
SBCB,RJ0003,Cabo Frio,CABO FRIO,RJ,,"[{'badge_info': 'Z3729/17', 'titulo': ' N 24/10/2017 17:59', 'texto2': '30/10/17 00:00 a PERM'}, {'badge_info': 'Z3728/17', 'titulo': ' N 24/10/2017 17:56', 'texto2': '30/10/17 00:00 a PERM'}]"
SBCD,SC0017,Caçador,CAÇADOR,SC,,"[{'badge_info': 'E0242/19', 'titulo': ' N 07/02/2019 17:04', 'texto2': '14/02/19 00:00 a 14/05/19 23:59 UTC'}, {'badge_info': 'E0241/19', 'titulo': ' N 07/02/2019 17:01', 'texto2': '14/02/19 13:20 a 14/05/19 23:59 UTC'}, {'badge_info': 'E0240/19', 'titulo': ' N 07/02/2019 16:58', 'texto2': '14/02/19 00:00 a 14/05/19 23:59 UTC'}]"
SBCF,MG0001,Tancredo Neves,CONFINS,MG,,"[{'badge_info': 'N0174 | 13/09/18', 'titulo': 'PROCEDIMENTO DE APROXIMAÇÃO POR INSTRUMENTOS', 'texto1': 'Procedimento de Aproximação por Instrumentos – IAP ILS T RWY 16 – não disponível.', 'texto2': '\n  \tPeríodo: De 13 de setembro de 2018, 0000 UTC até 13 de setembro de 2019, 2359 UTC.\n\tRef: AIP MAP IAC\n\n', 'anexo': 'http://www.aisweb.aer.mil.br/download/?sup=b7a74ce4-b6d0-4a44-a445c794262fe5cd.pdf'}, {'badge_info': 'N0049 | 27/04/17', 'titulo': 'CARTA DE ESTACIONAMENTO DE AERÓDROMOS', 'texto1': 'Carta de estacionamento de aeródromos - PDC 2 e PDC - modificada. \nObservar croqui em anexo.', 'texto2': '\n  \tPeríodo: De 27 de abril de 2017, 0000 UTC até 06 de junho de 2020, 2359 UTC.\n\tRef: AIP MAP PDC (RPLC N155/16)\n\n\n Anexo\n', 'anexo': 'http://www.aisweb.aer.mil.br/download/?sup=b7a74ce4-b6d0-4a44-a445c794262fe5cd.pdf'}, {'badge_info': 'N0035 | 30/03/17', 'titulo': 'PÁTIO', 'texto1': '- Modificações de observações.\n\n1) Aeronave de aviação geral que for operar no Pátio 1, Pátio 2 e Pátio 3, deverá requerer\nautorização prévia com 24 horas de antecedência à coordenação do Centro de Operações Aeroportuárias (APOC) através do e-mail apoc@bh-airport.com.br ou através dos telefones + 55 31 3689 2101 e + 55 31 3689 2037.\n2) Deverão ser informados ao APOC:\na. Matrícula da aeronave\nb. Data da operação\nc. Origem / destino (IATA/ICAO)\nd. Horário de pouso e decolagem (horário local e UTC)\ne. PMD/MTOW (em quilogramas)\nf. Modelo da aeronave (ICAO e IATA)\ng. Proprietário/operador da aeronave.', 'texto2': '\n  \tPeríodo: De 30 de março de 2017, 0000 UTC até 09 de junho de 2020, 2359 UTC.\n\tRef: AIP AD 2.8 (RPLC N118/16)\n\n'}, {'badge_info': 'F0369/19', 'titulo': ' N 26/02/2019 21:44', 'texto2': '26/02/19 21:44 a 26/05/19 23:59 UTC'}, {'badge_info': 'F0316/19', 'titulo': ' N 21/02/2019 17:01', 'texto2': '12/03/19 12:00 a 12/03/19 21:00 UTC'}, {'badge_info': 'F0305/19', 'titulo': ' N 20/02/2019 17:55', 'texto2': 'SFC'}, {'badge_info': 'Z0118/19', 'titulo': ' N 18/02/2019 14:41', 'texto2': '18/02/19 14:41 a PERM'}, {'badge_info': 'F0120/19', 'titulo': ' R F2527/18 24/01/2019 17:44', 'texto2': '25/01/19 04:30 a 12/03/19 07:05 UTC'}, {'badge_info': 'Z2053/18', 'titulo': ' R Z4047/17 19/11/2018 12:56', 'texto2': '19/11/18 12:56 a PERM'}, {'badge_info': 'Z1946/18', 'titulo': ' N 07/11/2018 19:57', 'texto2': '08/11/18 00:00 a PERM'}, {'badge_info': 'Z1544/18', 'titulo': ' N 26/09/2018 17:44', 'texto2': '26/09/18 17:44 a PERM'}, {'badge_info': 'Z1543/18', 'titulo': ' N 26/09/2018 17:37', 'texto2': '26/09/18 17:37 a PERM'}, {'badge_info': 'Z1323/18', 'titulo': ' N 10/08/2018 18:12', 'texto2': '10/08/18 18:12 a PERM'}, {'badge_info': 'Z1271/18', 'titulo': ' R Z2541/17 17/07/2018 13:48', 'texto2': '17/07/18 13:48 a PERM'}, {'badge_info': 'Z0564/18', 'titulo': ' N 16/03/2018 14:45', 'texto2': '16/03/18 14:46 a PERM'}, {'badge_info': 'Z0431/18', 'titulo': ' N 27/02/2018 13:31', 'texto2': '27/02/18 13:32 a PERM'}, {'badge_info': 'Z2646/17', 'titulo': ' R Z2273/15 05/09/2017 17:21', 'texto2': '05/09/17 17:25 a PERM'}, {'badge_info': 'Z2589/17', 'titulo': ' R Z1542/16 25/08/2017 22:54', 'texto2': '25/08/17 22:54 a PERM'}, {'badge_info': 'Z2552/17', 'titulo': ' R Z2550/17 22/08/2017 01:15', 'texto2': '22/08/17 01:13 a PERM'}, {'badge_info': 'Z2551/17', 'titulo': ' R Z2549/17 22/08/2017 01:10', 'texto2': '22/08/17 01:10 a PERM'}, {'badge_info': 'Z2230/17', 'titulo': ' R Z2235/15 26/07/2017 18:06', 'texto2': '26/07/17 18:06 a PERM'}, {'badge_info': 'Z2146/17', 'titulo': ' N 15/07/2017 13:50', 'texto2': '15/07/17 13:50 a PERM'}, {'badge_info': 'Z1975/17', 'titulo': ' N 20/06/2017 15:24', 'texto2': '20/06/17 15:24 a PERM'}, {'badge_info': 'Z1259/17', 'titulo': ' R Z1257/17 05/05/2017 15:36', 'texto2': '05/05/17 15:36 a PERM'}, {'badge_info': 'Z1258/17', 'titulo': ' N 05/05/2017 15:34', 'texto2': '05/05/17 15:34 a PERM'}, {'badge_info': 'Z4751/16', 'titulo': ' N 12/12/2016 19:41', 'texto2': '12/12/16 19:44 a PERM'}]"
SBCG,MS0001,Campo Grande,CAMPO GRANDE,MS,,"[{'badge_info': 'E0146/19', 'titulo': ' N 24/01/2019 19:05', 'texto2': '31/01/19 00:00 a 30/04/19 23:59 UTC'}, {'badge_info': 'E0083/19', 'titulo': ' R E0078/19 15/01/2019 21:33', 'texto2': '21/01/19 13:24 a 09/04/19 23:59 UTC'}, {'badge_info': 'E0058/19', 'titulo': ' N 10/01/2019 18:01', 'texto2': '17/01/19 00:00 a 09/04/19 23:59 UTC'}, {'badge_info': 'Z1962/18', 'titulo': ' N 07/11/2018 21:40', 'texto2': '08/11/18 00:00 a PERM'}, {'badge_info': 'Z0900/18', 'titulo': ' N 18/05/2018 17:59', 'texto2': '18/05/18 18:00 a PERM'}, {'badge_info': 'Z2274/17', 'titulo': ' R Z1244/16 01/08/2017 14:13', 'texto2': '01/08/17 14:13 a PERM'}, {'badge_info': 'Z4080/16', 'titulo': ' N 31/10/2016 17:57', 'texto2': '31/10/16 17:57 a PERM'}, {'badge_info': 'Z2861/15', 'titulo': ' N 26/10/2015 11:57', 'texto2': '26/10/15 12:03 a PERM'}]"
SBCH,SC0003,Serafin Enoss Bertaso,CHAPECÓ,SC,,"[{'badge_info': 'N0188 | 11/10/18', 'titulo': 'AUXÍLIO À NAVEGAÇÃO', 'texto1': '- VOR/DME XPC 116.10/CH108X não utilizável.', 'texto2': '\n  \tPeríodo: De 11 de outubro de 2018, 0000 UTC até 10 de outubro de 2019, 2359 UTC.\n\tRef: AIP ENR 4.1 (RPLC SUP N136/18)\n\n'}, {'badge_info': 'Z0735/18', 'titulo': ' N 20/04/2018 12:19', 'texto2': '20/04/18 12:20 a PERM'}]"
SBCI,MA0003,Brig. Lysias Augusto Rodrigues,CAROLINA,MA,,"[{'badge_info': 'N0010 | 01/02/18', 'titulo': 'INFORMAÇÃO ADICIONAL', 'texto1': '- Obstáculo iluminado sobre NDB CNA 330 Khz não utilizável.', 'texto2': '\n  \tPeríodo: De 01 de fevereiro de 2018, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP ADC\n\n'}, {'badge_info': 'N0190 | 07/12/17', 'titulo': 'RESTRIÇÃO DE PISTA', 'texto1': '- Últimos 70m da Pista 11 fechados para decolagem e primeiros 160m da Pista 29 fechados para pouso.', 'texto2': '\n  \tPeríodo: De 07 de dezembro de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP ADC (RPLC SUP N086/16)\n\n'}, {'badge_info': 'N0191 | 07/12/17', 'titulo': 'DISTÂNCIAS DECLARADAS', 'texto1': '- Distâncias declaradas da Pista 11/29 modificadas. \n\n            TORA  TODA   ASDA  LDA\nRWY11 1800M 1730M 1800M 1800M\nRWY 29 1800M 1800M 1800M 1640M', 'texto2': '\n  \tPeríodo: De 07 de dezembro de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP ADC (RPLC SUP N087/16)\n\n'}, {'badge_info': 'N0193 | 08/12/16', 'titulo': 'LUZES DE ÁREA DE POUSO', 'texto1': '- Todas Facilidades e Serviço de iluminação da área de pouso estão indisponíveis.', 'texto2': '\n  \tPeríodo: De 08 de dezembro de 2016, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP ADC (RPLC N158/14)\n\n'}, {'badge_info': 'Z1944/18', 'titulo': ' N 07/11/2018 19:48', 'texto2': '08/11/18 00:00 a PERM'}]"
SBCJ,PA0006,Carajás,PARAUAPEBAS,PA,,"[{'badge_info': 'N0009 | 01/02/18', 'titulo': 'INFORMAÇÃO ADICIONAL', 'texto1': '- Obstáculo iluminado sobre NDB CRJ não utilizável.', 'texto2': '\n  \tPeríodo: De 01 de fevereiro de 2018, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP IAC\n\n'}, {'badge_info': 'N0159 | 07/12/17', 'titulo': 'SERVIÇO DE METEOROLOGIA', 'texto1': '- Meteorologia CMA (1 a 9) serviço prestado por meio de autoatendimento. Dúvidas sobre a utilização do portal www.redemet.aer.mil.br e demais informações consultar o Centro Meteorológico de Vigilância Amazônico TEL (92) 3652-5374; (92) 3652-5375.', 'texto2': '\n  \tPeríodo: De 07 de dezembro de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP GEN 3.5 (RPLC SUP N010/16)\n\n'}, {'badge_info': 'N0205 | 08/12/16', 'titulo': 'AUXÍLIO À NAVEGAÇÃO E AO POUSO', 'texto1': '- NDB CRJ 1700 Khz inoperante.', 'texto2': '\n  \tPeríodo: De 08 de dezembro de 2016, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP IAC (RPLC N155/15)\n\n'}, {'badge_info': 'G0184/19', 'titulo': ' N 14/02/2019 16:18', 'texto2': 'GND'}, {'badge_info': 'G1343/18', 'titulo': ' N 30/11/2018 20:27', 'texto2': 'GND'}]"
SBCM,SC0009,Forquilhinha - Criciúma,FORQUILHINHA,SC,,"[{'badge_info': 'E0354/19', 'titulo': ' N 25/02/2019 20:45', 'texto2': '04/03/19 00:00 a 01/06/19 23:59 UTC'}, {'badge_info': 'E0353/19', 'titulo': ' N 25/02/2019 20:34', 'texto2': '04/03/19 00:00 a 01/06/19 23:59 UTC'}, {'badge_info': 'E0351/19', 'titulo': ' N 25/02/2019 20:04', 'texto2': '04/03/19 00:00 a 01/06/19 23:59 UTC'}, {'badge_info': 'E2939/18', 'titulo': ' N 28/12/2018 21:28', 'texto2': '01/01/19 00:00 a 25/03/19 23:59 UTC'}, {'badge_info': 'E2938/18', 'titulo': ' N 28/12/2018 21:20', 'texto2': '01/01/19 00:00 a 25/03/19 23:59 UTC'}, {'badge_info': 'Z2170/18', 'titulo': ' N 18/12/2018 20:34', 'texto2': '18/12/18 20:34 a PERM'}, {'badge_info': 'Z2169/18', 'titulo': ' N 18/12/2018 18:25', 'texto2': '18/12/18 18:25 a PERM'}, {'badge_info': 'Z4107/16', 'titulo': ' N 01/11/2016 18:23', 'texto2': '01/11/16 18:26 a PERM'}, {'badge_info': 'Z3186/15', 'titulo': ' N 30/11/2015 11:45', 'texto2': '10/12/15 00:00 a PERM'}]"
